STOPMODENAME, STATIONNAME, SE_ANNO_CAD_DATA, METLINKSTOPID, ZONES, STATIONTYPE
"Train","Pakenham",null,"19880","2","Premium"
"Train","Officer",null,"19881","2","Unmanned"
"Train","Beaconsfield",null,"19882","2","Unmanned"
"Train","Morradoo",null,"19829","2","Unmanned"
"Train","Berwick",null,"19883","2","Premium"
"Train","Narre Warren",null,"19884","2","Premium"
"Train","Hallam",null,"19885","2","Unmanned"
"Train","Cranbourne",null,"19886","2","Premium"
"Train","Merinda Park",null,"19887","2","Unmanned"
"Train","Dandenong",null,"19888","2","Premium"
"Train","Yarraman",null,"19889","2","Unmanned"
"Train","Noble Park",null,"19890","2","Premium"
"Train","Sandown Park",null,"19891","2","Host"
"Train","East Camberwell",null,"19892","1","Unmanned"
"Train","Bittern",null,"19830","2","Unmanned"
"Train","Canterbury",null,"19893","1,2","Host"
"Train","Chatham",null,"19894","1,2","Unmanned"
"Train","Surrey Hills",null,"19895","1,2","Premium"
"Train","Mont Albert",null,"19896","1,2","Unmanned"
"Train","Laburnum",null,"19897","2","Unmanned"
"Train","Blackburn",null,"19898","2","Premium"
"Train","Nunawading",null,"19899","2","Premium"
"Train","Mitcham",null,"19900","2","Premium"
"Train","Heatherdale",null,"19901","2","Host"
"Train","Ringwood",null,"19902","2","Premium"
"Train","Hastings",null,"19831","2","Unmanned"
"Train","Auburn",null,"19903","1","Host"
"Train","Glenferrie",null,"19904","1","Premium"
"Train","Hawthorn",null,"19905","1","Host"
"Train","Burnley",null,"19906","1","Premium"
"Train","East Richmond",null,"19907","1","Unmanned"
"Train","Richmond",null,"19908","1","Premium"
"Train","Heyington",null,"19909","1","Unmanned"
"Train","Kooyong",null,"19910","1","Unmanned"
"Train","Tooronga",null,"19911","1","Host"
"Train","Gardiner",null,"19912","1","Host"
"Train","Tyabb",null,"19832","2","Unmanned"
"Train","Springvale",null,"19913","2","Premium"
"Train","Westall",null,"19914","2","Premium"
"Train","Clayton",null,"19915","2","Premium"
"Train","Huntingdale",null,"19916","1,2","Host"
"Train","Oakleigh",null,"19917","1,2","Premium"
"Train","Hughesdale",null,"19918","1,2","Host"
"Train","Murrumbeena",null,"19919","1","Host"
"Train","Carnegie (Temporarily Closed)",null,"19920","1","Host"
"Train","Werribee",null,"19921","2","Premium"
"Train","Hoppers Crossing",null,"19922","2","Host"
